Title,Address,Links,Latitude,Longitude,marker-symbol,marker-color
Bethany Lutheran Church ,10101 Walnut Hill Lane Dallas 75238,http://goo.gl/maps/qKxM6,32.878906,-96.711514,polling-place,#ff0000
Coppell Town Center ,255 Parkway Blvd Coppell 75019,http://goo.gl/maps/7LrIj,32.975795,-96.991123,polling-place,#ff0000
Crosswinds High School ,1100 N Carrier Pkwy Grand Prairie 75050,http://goo.gl/maps/LGa5Y,32.755626,-97.018585,polling-place,#ff0000
Dallas ISD Administration Bldg,3700 Ross Ave Dallas 75204,http://goo.gl/maps/ioVkH,32.705442,-96.583712,polling-place,#ff0000
DeSoto Town Center Library,211 E Pleasant Run Rd Desoto 75115,http://goo.gl/maps/fK74s,32.604304,-96.859683,polling-place,#ff0000
Duncanville Library ,201 James Collins Duncanville 75116,http://goo.gl/maps/AUSRJ,32.6043,-96.859683,polling-place,#ff0000
Eastfield College Pleasant Grove Campus ,802 S Buckner Blvd Dallas 75217,http://goo.gl/maps/nICjZ,32.725551,-96.681792,polling-place,#ff0000
El Centro College-West Campus ,3330 N Hampton Rd Dallas 75212,http://goo.gl/maps/VdzkY,32.782621,-96.856439,polling-place,#ff0000
Farmers Branch City Hall ,13000 William Dodson Pkwy Farmers Branch 75234,http://goo.gl/maps/YFP4R,32.922582,-96.893762,polling-place,#ff0000
Fretz Park Library ,6990 Belt Line Road Dallas 75254,http://goo.gl/maps/R2A00,32.949639,-96.783688,polling-place,#ff0000
Garner Fine Arts Academy ,145 Polo Road Grand Prairie 75052,http://goo.gl/maps/1I5D9,32.658308,-97.009078,polling-place,#ff0000
Glenn Heights City Hall ,1938 S Hampton Rd Glenn Heights 75154,http://goo.gl/maps/wK3Bl,32.820665,-96.731542,polling-place,#ff0000
Grauwyler Park Recreation Center ,7780 Harry Hines Blvd Dallas 75235,http://goo.gl/maps/b1wdF,32.949713,-96.781547235,polling-place,#ff0000
Irving City Hall ,825 W Irving Blvd Irving 75060,http://goo.gl/maps/rTMKL,32.850531,-96.960289,polling-place,#ff0000
Josey Ranch Library ,1700 Keller Springs Carrollton 75006,http://goo.gl/maps/Re3Cp,32.552549,-96.856359,polling-place,#ff0000
Lakeside Activity Center ,101 Holley Park Dr Mesquite 75149,http://goo.gl/maps/vGdbm,32.76378,-96.600021,polling-place,#ff0000
Lancaster Veterans Memorial Library  ,1600 Veterans Memorial Pkwy Lancaster 75134,http://goo.gl/maps/M2hQj,32.311565,-96.213082,polling-place,#ff0000
Lochwood Library ,11221 Lochwood Blvd Dallas 75218,http://goo.gl/maps/Nsz2J,32.848605,-96.687713,polling-place,#ff0000
Marsh Lane Baptist Church ,10716 Marsh Lane Dallas 75229,http://goo.gl/maps/DZyLa,32.894359,-96.855278,polling-place,#ff0000
Martin Luther King Jr Core Bldg ,2922 Mlk Blvd Dallas 75215,http://goo.gl/maps/IEGQJ,32.75368,-96.76587,polling-place,#ff0000
Martin Weiss Recreation Center ,1111 Martindell Ave Dallas 75211,http://goo.gl/maps/aWni7,32.73469,-96.876157,polling-place,#ff0000
Oak Cliff Sub-Courthouse ,410 S Beckley Ave Dallas 75203,http://goo.gl/maps/mx8RQ,32.742439,-96.822816,polling-place,#ff0000
Our Redeemer Lutheran Church ,7611 Park Lane Dallas 75225,http://goo.gl/maps/bZyzJ,32.741804,-96.823025,polling-place,#ff0000
Paul Laurence Dunbar Lancaster-Kiest Library ,2008 E Kiest Blvd Dallas 75216,http://goo.gl/maps/ObMzS,32.714833,-96.791219,polling-place,#ff0000
Records Building  (Main Location) ,509 Main Street Dallas 75202,http://goo.gl/maps/JvKHB,32.650667,-96.966029,polling-place,#ff0000
Richardson Civic Center ,411 W Arapaho Road Richardson 75080,http://goo.gl/maps/7ubCN,32.802174,-96.812038,polling-place,#ff0000
Richland College-Garland Campus ,675 W Walnut St Garland 75040,http://goo.gl/maps/e8WQi,32.944325,-96.732589,polling-place,#ff0000
Rowlett City Hall Annex ,4004 Main Street Rowlett 75088,http://goo.gl/maps/XFCSm,32.916819,-96.637378,polling-place,#ff0000
St Luke Community Life Center ,6211 East Grand Ave Dallas 75223,http://goo.gl/maps/Yjuoe,32.798695,-96.74282,polling-place,#ff0000
Valley Ranch Library   ,401 Cimarron Trail Irving 75063,http://goo.gl/maps/7EHfz,32.934055,-96.950887,polling-place,#ff0000
